序号,院校名称,类别,院校隶属,所在,211工程,985工程,,,
,,,,省市,,,,,
1,北京大学,综合,教育部,北京,√（1995）,√（1999）,,,
2,中国人民大学,综合,教育部,北京,√（1996）,√（2003）,,,
3,清华大学,工科,教育部,北京,√（1995）,√（1999）,,,
4,北京交通大学,工科,教育部,北京,√（1997）,,,,
5,北京工业大学,工科,北京市,北京,√（1997）,,,,
6,北京航空航天大学,工科,工业和信息化部,北京,√（1995）,√（2001）,,,
7,北京理工大学,工科,工业和信息化部,北京,√（1995）,√（2000）,,,
8,北京科技大学,工科,教育部,北京,√（1997）,,,,
9,北京化工大学,工科,教育部,北京,√（1997）,,,,
10,北京邮电大学,工科,教育部,北京,√（1997）,,,,
11,中国农业大学,农业,教育部,北京,√（1995）,√（2006）,,,
12,北京林业大学,林业,教育部,北京,√（1997）,,,,
13,北京中医药大学,医药,教育部,北京,√（1997）,,,,
14,北京师范大学,师范,教育部,北京,√（1996）,√（2002）,,,
15,北京外国语大学,语言,教育部,北京,√（1997）,,,,
16,中国传媒大学,语言,教育部,北京,√（1997）,,,,
17,中央财经大学,财经,教育部,北京,√（2005）,,,,
18,对外经济贸易大学,财经,教育部,北京,√（1997）,,,,
19,北京体育大学,体育,国家体育总局,北京,√（2005）,,,,
20,中央音乐学院,艺术,教育部,北京,√（1997）,,,,
21,中央民族大学,民族,国家民族事务委员会,北京,√（1997）,√（2006）,,,
22,中国政法大学,政法,教育部,北京,√（2005）,,,,
23,华北电力大学,工科,教育部,北京,√（2005）,,,,
24,南开大学,综合,教育部,天津,√（1995）,√（2000）,,,
25,天津大学,工科,教育部,天津,√（1995）,√（2000）,,,
26,天津医科大学,医药,天津市,天津,√（1997）,,,,
27,河北工业大学,工科,河北省,天津,√（1997）,,,,
28,太原理工大学,工科,山西省,山西,√（1997）,,,,
29,内蒙古大学,综合,内蒙古自治区,内蒙古,√（1997）,,,,
30,辽宁大学,综合,辽宁省,辽宁,√（1997）,,,,
31,大连理工大学,工科,教育部,辽宁,√（1996）,√（2001）,,,
32,东北大学,工科,教育部,辽宁,√（1997）,√（2002）,,,
33,大连海事大学,工科,交通部,辽宁,√（1997）,,,,
34,吉林大学,综合,教育部,吉林,√（1996）,√（2001）,,,
35,延边大学,综合,吉林省,吉林,√（1997）,,,,
36,东北师范大学,师范,教育部,吉林,√（1997）,,,,
37,哈尔滨工业大学,工科,工业和信息化部,黑龙江,√（1995）,√（1999）,,,
38,哈尔滨工程大学,工科,工业和信息化部,黑龙江,√（1996）,,,,
39,东北农业大学,农业,黑龙江省,黑龙江,√（1997）,,,,
40,东北林业大学,林业,教育部,黑龙江,√（2005）,,,,
41,复旦大学,综合,教育部,上海,√（1995）,√（1999）,,,
42,同济大学,工科,教育部,上海,√（1996）,√（2002）,,,
43,上海交通大学,综合,教育部,上海,√（1995）,√（1999）,,,
44,华东理工大学,工科,教育部,上海,√（1997）,,,,
45,东华大学,工科,教育部,上海,√（1997）,,,,
46,华东师范大学,师范,教育部,上海,√（1997）,√（2006）,,,
47,上海外国语大学,语言,教育部,上海,√（1997）,,,,
48,上海财经大学,财经,教育部,上海,√（1997）,,,,
49,上海大学,综合,上海市,上海,√（1997）,,,,
50,第二军医大学,军事,解放军总政治部,上海,√（1997）,,,,
51,南京大学,综合,教育部,江苏,√（1995）,√（1999）,,,
52,苏州大学,综合,江苏省,江苏,√（1997）,,,,
53,东南大学,综合,教育部,江苏,√（1996）,√（2001）,,,
54,南京航空航天大学,工科,工业和信息化部,江苏,√（1997）,,,,
55,南京理工大学,工科,工业和信息化部,江苏,√（1997）,,,,
56,中国矿业大学,工科,教育部,江苏,√（1997）,,,,
57,河海大学,工科,教育部,江苏,√（1997）,,,,
58,江南大学,综合,教育部,江苏,√（1997）,,,,
59,南京农业大学,农业,教育部,江苏,√（1997）,,,,
60,中国药科大学,医药,教育部,江苏,√（1997）,,,,
61,南京师范大学,师范,江苏省,江苏,√（1997）,,,,
62,浙江大学,综合,教育部,浙江,√（1995）,√（1999）,,,
63,安徽大学,综合,安徽省,安徽,√（1997）,,,,
64,中国科学技术大学,工科,中国科学院,安徽,√（1992）,√（1999）,,,
65,合肥工业大学,工科,教育部,安徽,√（2005）,,,,
66,厦门大学,综合,教育部,福建,√（1997）,√（2001）,,,
67,福州大学,工科,福建省,福建,√（1997）,,,,
68,南昌大学,综合,江西省,江西,√（1997）,,,,
69,山东大学,综合,教育部,山东,√（1997）,√（2001）,,,
70,中国海洋大学,综合,教育部,山东,√（1997）,√（2001）,,,
71,郑州大学,综合,河南省,河南,√（1997）,,,,
72,武汉大学,综合,教育部,湖北,√（1996）,√（2001）,,,
73,华中科技大学,工科,教育部,湖北,√（1996）,√（2001）,,,
74,武汉理工大学,工科,教育部,湖北,√（1997）,,,,
75,华中农业大学,农业,教育部,湖北,√（2005）,,,,
76,华中师范大学,师范,教育部,湖北,√（2005）,,,,
77,中南财经政法大学,财经,教育部,湖北,√（2005）,,,,
78,湖南大学,综合,教育部,湖南,√（1997）,√（2001）,,,
79,中南大学,综合,教育部,湖南,√（1996）,√（2001）,,,
80,湖南师范大学,师范,湖南省,湖南,√（1997）,,,,
81,国防科学技术大学,军事,中央军委,湖南,√（1997）,√（2006）,,,
82,中山大学,综合,教育部,广东,√（1996）,√（2001）,,,
83,暨南大学,综合,国务院侨务办公室,广东,√（1997）,,,,
84,华南理工大学,工科,教育部,广东,√（1997）,√（2001）,,,
85,华南师范大学,师范,广东省,广东,√（1997）,,,,
86,海南大学,综合,海南省,海南,√（2008）,,,,
87,广西大学,综合,广西壮族自治区,广西,√（1997）,,,,
88,四川大学,综合,教育部,四川,√（1997）,√（2001）,,,
89,西南交通大学,工科,教育部,四川,√（1997）,,,,
90,电子科技大学,工科,教育部,四川,√（1997）,√（2001）,,,
91,四川农业大学,农业,四川省,四川,√（1997）,,,,
92,西南财经大学,财经,教育部,四川,√（1997）,,,,
93,西南大学,综合,教育部,重庆,√（2005）,,,,
94,重庆大学,综合,教育部,重庆,√（1997）,√（2001）,,,
95,贵州大学,综合,贵州省,贵州,√（2005）,,,,
96,云南大学,综合,云南省,云南,√（1997）,,,,
97,西藏大学,综合,西藏自治区,西藏,√（2008）,,,,
98,西北大学,综合,陕西省,陕西,√（1997）,,,,
99,西安交通大学,理工,教育部,陕西,√（1995）,√（1999）,,,
100,西北工业大学,,工科,工业和信息化部,,陕西,√（1995）,√（2001）,
101,西安电子科技大学,,工科,教育部,,陕西,√（1997）,,
102,长安大学,,工科,教育部,,陕西,√（1997）,,
103,西北农林科技大学,,农业,教育部,,陕西,√（2005）,√（2006）,
104,陕西师范大学,,师范,教育部,,陕西,√（2005）,,
105,第四军医大学,,军事,解放军总政治部,,陕西,√（1997）,,
106,兰州大学,,综合,教育部,,甘肃,√（1997）,√（2001）,
107,青海大学,,综合,青海省,,青海,√（2008）,,
108,宁夏大学,,综合,宁夏回族自治区,,宁夏,√（2008）,,
109,新疆大学,,综合,新疆维吾尔自治区,,新疆,√（1997）,,
110,石河子大学,,综合,新疆生产建设兵团,,新疆,√（2008）,,
特殊高校：,,,,,,,,,
111,,北京协和医学部,,医药,卫生部,北京,√（2006）,√（2006）,
112,,华北电力大学（保定）,,工科,教育部,河北,√（2005）,,
113,,中国石油大学（华东）,,工科,教育部,山东,√（1997）,,
114,,中国地质大学（北京）,,工科,教育部,北京,√（1997）,,
115,,中国矿业大学（北京）,,工科,教育部,北京,√（1997）,,
116,,中国石油大学（北京）,,工科,教育部,北京,√（1997）,,
117,,中国地质大学（武汉）,,工科,教育部,湖北,√（1997）,,
118,,东北大学（秦皇岛）,,工科,教育部,河北,√（1997）,√（2002）,
119,,哈尔滨工业大学（威海）,,综合,工业和信息化部,山东,√（1995）,√（1999）,
120,,山东大学（威海）,,综合,教育部,山东,√（1997）,√（2001）,
